step_reverse,layer,depth,metric,image_index,value
3,features.1.1,2,L2_normalized,3,0.6980859041213989
3,features.1.1,2,L2_normalized,4,0.8015239238739014
3,features.1.1,2,L2_normalized,5,0.648057222366333
3,features.1.1,2,L2_normalized,6,0.49132099747657776
3,features.1.1,2,L2_normalized,7,0.3613603115081787
3,features.1.1,2,L2_normalized,8,0.5298581123352051
3,features.1.1,2,L2_normalized,9,0.5446795225143433
3,features.1.1,2,L2_normalized,10,0.2920534908771515
3,features.1.1,2,L2_normalized,11,0.7796142101287842
3,features.1.1,2,L2_normalized,12,0.6673699021339417
3,features.1.1,2,L2_normalized,13,0.27064943313598633
3,features.1.1,2,L2_normalized,14,0.5919508934020996
3,features.1.1,2,L2_normalized,15,0.5286405086517334
3,features.1.1,2,L2_normalized,16,0.5182293057441711
3,features.1.1,2,L2_normalized,17,0.6169841289520264
3,features.1.1,2,L2_normalized,18,0.5872929692268372
3,features.1.1,2,L2_normalized,19,0.47954002022743225
3,features.1.1,2,L2_normalized,20,0.6402843594551086
3,features.1.1,2,L2_normalized,21,0.653408408164978
3,features.1.1,2,L2_normalized,22,0.5264366865158081
3,features.1.1,2,L2_normalized,23,0.6116779446601868
3,features.1.1,2,L2_normalized,24,0.5883547067642212
3,features.1.1,2,L2_normalized,25,0.575254499912262
3,features.1.1,2,L2_normalized,26,0.4861755073070526
3,features.1.1,2,L2_normalized,27,0.391311377286911
3,features.1.1,2,L2_normalized,28,0.7138506770133972
3,features.1.1,2,L2_normalized,29,0.3133965730667114
3,features.1.1,2,cosine,0,0.6587792634963989
3,features.1.1,2,cosine,1,0.5932142734527588
3,features.1.1,2,cosine,2,0.5436626076698303
3,features.1.1,2,cosine,3,0.6522839069366455
3,features.1.1,2,cosine,4,0.600656270980835
3,features.1.1,2,cosine,5,0.6767914295196533
3,features.1.1,2,cosine,6,0.7548191547393799
3,features.1.1,2,cosine,7,0.819638729095459
3,features.1.1,2,cosine,8,0.7357558012008667
3,features.1.1,2,cosine,9,0.7283297777175903
3,features.1.1,2,cosine,10,0.8542488813400269
3,features.1.1,2,cosine,11,0.6118742227554321
3,features.1.1,2,cosine,12,0.6670480370521545
3,features.1.1,2,cosine,13,0.864982008934021
3,features.1.1,2,cosine,14,0.7052770853042603
3,features.1.1,2,cosine,15,0.7363020181655884
3,features.1.1,2,cosine,16,0.7412669062614441
3,features.1.1,2,cosine,17,0.6934740543365479
3,features.1.1,2,cosine,18,0.7077161073684692
3,features.1.1,2,cosine,19,0.7612333297729492
3,features.1.1,2,cosine,20,0.680699348449707
3,features.1.1,2,cosine,21,0.6749558448791504
3,features.1.1,2,cosine,22,0.7376159429550171
3,features.1.1,2,cosine,23,0.6953334808349609
3,features.1.1,2,cosine,24,0.710582971572876
3,features.1.1,2,cosine,25,0.7134517431259155
3,features.1.1,2,cosine,26,0.7571905851364136
3,features.1.1,2,cosine,27,0.8047583699226379
3,features.1.1,2,cosine,28,0.6449147462844849
3,features.1.1,2,cosine,29,0.8439735770225525
3,features.1.2,3,L2,0,271913.375
3,features.1.2,3,L2,1,321789.9375
3,features.1.2,3,L2,2,298120.28125
3,features.1.2,3,L2,3,280428.5
3,features.1.2,3,L2,4,298199.84375
3,features.1.2,3,L2,5,255370.0
3,features.1.2,3,L2,6,197320.21875
3,features.1.2,3,L2,7,150746.28125
3,features.1.2,3,L2,8,207337.15625
3,features.1.2,3,L2,9,234371.28125
3,features.1.2,3,L2,10,122491.6875
3,features.1.2,3,L2,11,311973.3125
3,features.1.2,3,L2,12,211498.546875
3,features.1.2,3,L2,13,149133.265625
3,features.1.2,3,L2,14,218562.296875
3,features.1.2,3,L2,15,233777.421875
3,features.1.2,3,L2,16,197250.921875
3,features.1.2,3,L2,17,287050.625
3,features.1.2,3,L2,18,226471.484375
3,features.1.2,3,L2,19,227612.125
3,features.1.2,3,L2,20,281290.78125
3,features.1.2,3,L2,21,263288.5625
3,features.1.2,3,L2,22,258810.875
3,features.1.2,3,L2,23,275943.59375
3,features.1.2,3,L2,24,238524.65625
3,features.1.2,3,L2,25,239758.4375
3,features.1.2,3,L2,26,215587.203125
3,features.1.2,3,L2,27,157394.625
3,features.1.2,3,L2,28,271333.28125
3,features.1.2,3,L2,29,150213.578125
3,features.1.2,3,L2_normalized,0,0.7630451917648315
3,features.1.2,3,L2_normalized,1,0.8634228110313416
3,features.1.2,3,L2_normalized,2,0.9615986347198486
3,features.1.2,3,L2_normalized,3,0.7862544059753418
3,features.1.2,3,L2_normalized,4,0.8667810559272766
3,features.1.2,3,L2_normalized,5,0.7629639506340027
3,features.1.2,3,L2_normalized,6,0.5835394263267517
3,features.1.2,3,L2_normalized,7,0.47550779581069946
3,features.1.2,3,L2_normalized,8,0.6702873706817627
3,features.1.2,3,L2_normalized,9,0.5964483022689819
3,features.1.2,3,L2_normalized,10,0.3399868607521057
3,features.1.2,3,L2_normalized,11,0.8398137092590332
3,features.1.2,3,L2_normalized,12,0.7620177268981934
3,features.1.2,3,L2_normalized,13,0.3666204810142517
3,features.1.2,3,L2_normalized,14,0.7420814037322998
3,features.1.2,3,L2_normalized,15,0.6575838923454285
3,features.1.2,3,L2_normalized,16,0.5789400935173035
3,features.1.2,3,L2_normalized,17,0.8066174983978271
3,features.1.2,3,L2_normalized,18,0.7585102319717407
3,features.1.2,3,L2_normalized,19,0.610388457775116
3,features.1.2,3,L2_normalized,20,0.709987461566925
3,features.1.2,3,L2_normalized,21,0.795119047164917
3,features.1.2,3,L2_normalized,22,0.5973395109176636
3,features.1.2,3,L2_normalized,23,0.6887847781181335
3,features.1.2,3,L2_normalized,24,0.8289066553115845
3,features.1.2,3,L2_normalized,25,0.6262540817260742
3,features.1.2,3,L2_normalized,26,0.7146289348602295
3,features.1.2,3,L2_normalized,27,0.6774293780326843
3,features.1.2,3,L2_normalized,28,0.820376455783844
3,features.1.2,3,L2_normalized,29,0.49880197644233704
3,features.1.2,3,cosine,0,0.6189051866531372
3,features.1.2,3,cosine,1,0.5692950487136841
3,features.1.2,3,cosine,2,0.5209676623344421
3,features.1.2,3,cosine,3,0.607420027256012
3,features.1.2,3,cosine,4,0.567301332950592
3,features.1.2,3,cosine,5,0.6188728213310242
3,features.1.2,3,cosine,6,0.7085403800010681
3,features.1.2,3,cosine,7,0.7624343633651733
3,features.1.2,3,cosine,8,0.6651143431663513
3,features.1.2,3,cosine,9,0.7021374702453613
3,features.1.2,3,cosine,10,0.8300721645355225
3,features.1.2,3,cosine,11,0.5810548067092896
3,features.1.2,3,cosine,12,0.6190820932388306
3,features.1.2,3,cosine,13,0.816930890083313
3,features.1.2,3,cosine,14,0.6294669508934021
3,features.1.2,3,cosine,15,0.6717708110809326
3,features.1.2,3,cosine,16,0.7106799483299255
3,features.1.2,3,cosine,17,0.5974366664886475
3,features.1.2,3,cosine,18,0.6213493943214417
